Bug Info,Status,Created Date,Closed Date
0008318: Compliance Update Report Missing Timestamp,Open,2026-04-02,
0008317: Declaration Flow - Clearing Issue in CustomAffectedObject and TEFUP Fields,Open,2026-04-02,
0008316: Parent-Child Specification Flow unable to select parent spec to give general information data on it.,Open,2026-04-01,
0008315: Substance Where-Used Report – 'Generate Report' Button Text Update,Open,2026-04-01,
0008314: Export to Excel only displays one specification in the file - Item MPN PartGroup, Open,2026-04-01,
0008313: Unable to request compliance from SE,Open,2026-04-01,
0008312: Composition Reuse is not loading RMI composition from MFR block in newly created declaration.,Open,2026-03-31,
0008311: [Declaration] Part group - Unable to import file - Item not matched error is displayed,Open,2026-04-01,
0008310: [Empty Search] MPN - Expansion arrow is displayed even when there's no data,Closed,2026-04-01,2026-04-01
0008309: [Empty Search] Part Group - one specification is displayed upon expansion & Final Compliance search field is missing,Closed,2026-04-01,2026-04-01
0008308: Unable to create a declaration.,Closed,2026-04-01,2026-04-02
0008307: Loading exisiting composition loader appears on part group declaration composition reuse feature is MPN specific.,Open,2026-03-31,
0008306: Error occuring when requesting compliance on affected object.,Closed,2026-04-01,2026-04-02
0008305: [Search Field] Unable to type in the Specification search field for Item MPN & PG,Open,2026-03-30,
0008301: [MPN Search] Final Compliance updates for archived specification when new dec is approved,Open,2026-03-31,
0008300: [MPN Search Results] Final Compliance is being displayed for an MPN in draft state,Closed,2026-04-01,2026-04-02
0008299: Session Expiry - Login glitch,Open,2026-03-31,
0008297: [Empty Search] MPN - multiple mpn of the same are displayed when "has declaration" column is added,Closed,2026-03-27,2026-04-02
0008293: Unable to update attribute mapping in admin panel.,Open,2026-03-27,
0008285: CMRT - Import file,Open,2026-03-24,
0008281: Affected object is not selected in Pending declarations,Open,2026-03-19,
0008280: Compliance Update Report - View Report from Dashboard Navigates to Blank Report Page,Open,2026-04-02,
0008278: Compliance Update Report - Report page becomes blank on back navigation,Open,2026-03-19,
0008272: BOM report - Include items with no Compliance issues Filter,Open,2026-03-24,
0008256: Compliance Update Report - Initial Compliance Change Not Displayed for MPN,Open,2026-04-01,
0008242: Campaign Agent - Supplier Response Time and Campaign's Priority Level,Open,2026-03-09,
0008238: Allow exemption(s) update after file IPC file import,Open,2026-03-05,
0008233: Campaign Manager - Selected Parts Not Retained When Using IN File search,Open,2026-03-30,
0008207: [BOM Import] BOM import is not capturing second level child components in it's BOM tab .,Open,2026-04-01,
0008206: [Bulk Item Import] BOm relation is present on backend  UI not showing child in bom tab of item but parent appears in where use.,Open,2026-04-01,
0007903: [TEST] Supplier acceptance was set FALSE yet FMD mass from file was imported and file loaded successfully pop up appeared.,Open,2026-04-01,
0007985: Substance cannot be added multiple times for IPC-Class C,Open,2026-04-01,
0007384: Applicable part type tab information is not exported when Specification data is exported.,Open,2026-04-01,
0008130: [Substance-Where-Used-Report] updates in columns of the report template,Open,2026-03-24,
0008165: Campaign Manager  Campaigns Loading Issue,Closed,2026-04-01,2026-04-02
0008304: Substance Where Used Reports - Spec selection glitch,Closed,2026-03-30,2026-04-02
0008303: Preliminary Non-Compliance Report - Incorrect Spec dropdown,Closed,2026-03-30,2026-04-02
0008274: Mark mandatory columns to fill with asterik,Closed,2026-03-18,2026-04-02
0008269: CMRT - Certificate of Compliance uploaded file cannot be downloaded.,Closed,2026-03-17,2026-04-02
0008268: BOM report spec columns,Closed,2026-03-18,2026-04-02
0008271: [RMI Flow] Scope: Company User is able to add multiple companies in affected object tab,Closed,2026-03-17,2026-04-02
