Bug Info,Status,Created Date,Closed Date
0008312: Composition Reuse is not loading RMI composition from MFR block in newly created declaration.,Open,2026-05-01,
0008311: [Declaration] Part group - Unable to import file - Item not matched error is displayed,Open,2026-05-01,
0008310: [Empty Search] MPN - Expansion arrow is displayed even when there's no data,Closed,2026-05-01,2026-05-01
0008309: [Empty Search] Part Group - one specification is displayed upon expansion & Final Compliance search field is missing,Closed,2026-05-01,2026-05-01
0008308: Unable to create a declaration.,Open,2026-05-01,
0008307: Loading exisiting composition loader appears on part group declaration composition reuse feature is MPN specific.,Open,2026-05-01,
0008306: Error occuring when requesting compliance on affected object.,Open,2026-05-01,
0008305: [Search Field] Unable to type in the Specification search field for Item MPN & PG,Open,2026-05-01,
0008301: [MPN Search] Final Compliance updates for archived specification when new dec is approved,Open,2026-05-01,
0008300: [MPN Search Results] Final Compliance is being displayed for an MPN in draft state,Open,2026-05-01,
0008299: Session Expiry - Login glitch,Open,2026-05-01,
0008293: Unable to update attribute mapping in admin panel.,Open,2026-05-01,
0008285: CMRT - Import file,Open,2026-05-01,
0008281: Affected object is not selected in Pending declarations,Open,2026-05-01,
0008278: Compliance Update Report - Report page becomes blank on back navigation,Open,2026-05-01,
0008272: BOM report - Include items with no Compliance issues Filter,Open,2026-05-01,
0008256: Compliance Update Report - Initial Compliance Change Not Displayed for MPN,Open,2026-05-01,
0008242: Campaign Agent - Supplier Response Time and Campaign's Priority Level,Open,2026-05-01,
0008238: Allow exemption(s) update after file IPC file import,Open,2026-05-01,
0008233: Campaign Manager - Selected Parts Not Retained When Using IN File search,Open,2026-05-01,
